p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
CSNK2A1,null,null,0.9,null,0.374,DVL2,null
CSNK2A1,null,null,0.9,null,0.452,DVL3,null
CSNK2A1,null,null,0.0,null,0.457,JUN,null
CSNK2A1,null,null,0.0,null,0.542,TP53,null
CSNK2A2,null,null,0.9,null,0.0,CSNK2A3,null
CSNK2A2,null,null,0.9,null,0.693,CSNK2B,null
CSNK2A2,null,null,0.9,null,0.0,DVL1,null
CSNK2A2,null,null,0.9,null,0.0,DVL2,null
CSNK2A2,null,null,0.9,null,0.0,DVL3,null
CSNK2A2,null,null,0.0,null,0.465,TP53,null
CSNK2A3,null,null,0.9,null,0.325,CSNK2B,null
CSNK2A3,null,null,0.9,null,0.0,DVL1,null
CSNK2A3,null,null,0.9,null,0.0,DVL2,null
CSNK2A3,null,null,0.9,null,0.0,DVL3,null
CSNK2B,null,null,0.9,null,0.0,DVL1,null
CSNK2B,null,null,0.9,null,0.162,DVL2,null
CSNK2B,null,null,0.9,null,0.0,DVL3,null
CSNK2B,null,null,0.0,null,0.465,TP53,null
CTBP1,null,null,0.5,null,0.457,TCF7L2,0.285741
CTBP1,null,null,0.5,null,0.0,TCF7,0.585482
CTBP1,null,null,0.5,null,0.0,LEF1,0.22318
CTBP1,null,null,0.9,null,0.639,CTBP2,null
CTBP1,null,null,0.8,null,0.457,CTNNB1,null
CTBP1,null,null,0.0,null,0.457,EP300,null
CTBP1,null,null,0.5,null,0.0,TCF7L1,null
CTBP2,null,null,0.5,null,0.131,TCF7L2,0.285741
CTBP2,null,null,0.0,null,0.592,EP300,null
CTBP2,null,null,0.5,null,0.131,TCF7L1,null
CTNNB1,null,null,0.9,null,0.971,TCF7L2,0.285741
CTNNB1,null,null,0.9,null,0.639,TCF7,0.585482
CTNNB1,null,null,0.9,null,0.457,SIAH1,0.207217
CTNNB1,null,null,0.8,null,0.457,SMAD3,0.236565
CTNNB1,null,null,0.54,null,0.0,WNT2,0.506612
CTNNB1,null,null,0.72,null,0.457,LRP6,0.299816
CTNNB1,null,null,0.9,null,0.961,LEF1,0.22318
CTNNB1,null,null,0.9,null,0.965,CTNNBIP1,null
CTNNB1,null,null,0.5,null,0.457,CUL1,null
CTNNB1,null,null,0.0,null,0.409,DKK1,null
CTNNB1,null,null,0.36,null,0.542,DVL1,null
CTNNB1,null,null,0.5,null,0.457,EP300,null
CTNNB1,null,null,0.0,null,0.492,FBXW11,null
CTNNB1,null,null,0.54,null,0.0,FZD1,null
CTNNB1,null,null,0.8,null,0.564,GSK3B,null
CTNNB1,null,null,0.72,null,0.292,LRP5,null
CTNNB1,null,null,0.36,null,0.457,MYC,null
CTNNB1,null,null,0.0,null,0.457,PRKCA,null
CTNNB1,null,null,0.0,null,0.457,PSEN1,null
CTNNB1,null,null,0.5,null,0.292,RBX1,null
CTNNB1,null,null,0.9,null,0.457,RUVBL1,null
CTNNB1,null,null,0.5,null,0.928,SKP1,null
CTNNB1,null,null,0.5,null,0.292,SMAD4,null
CTNNB1,null,null,0.5,null,0.292,SOX17,null
CTNNB1,null,null,0.0,null,0.657,TBL1X,null
CTNNB1,null,null,0.0,null,0.457,TBL1XR1,null
CTNNB1,null,null,0.9,null,0.729,TCF7L1,null
CTNNB1,null,null,0.72,null,0.0,WNT3,null
CTNNBIP1,null,null,0.72,null,0.0,SIAH1,0.207217
CTNNBIP1,null,null,0.72,null,0.0,GSK3B,null
CUL1,null,null,0.9,null,0.714,FBXW11,null
CUL1,null,null,0.5,null,0.0,GSK3B,null
CUL1,null,null,0.0,null,0.457,MYC,null
CUL1,null,null,0.9,null,0.977,RBX1,null
CUL1,null,null,0.9,null,0.976,SKP1,null
CXXC4,null,null,0.5,null,0.0,DVL1,null
CXXC4,null,null,0.5,null,0.0,DVL2,null
CXXC4,null,null,0.5,null,0.0,DVL3,null
DAAM1,null,null,0.4,null,0.549,RHOA,0.274713
DAAM1,null,null,0.9,null,0.0,DAAM2,null
DAAM1,null,null,0.9,null,0.292,DVL1,null
DAAM1,null,null,0.9,null,0.0,DVL2,null
DAAM1,null,null,0.9,null,0.0,DVL3,null
DAAM2,null,null,0.9,null,0.0,DVL1,null
