#node	identifier	node_degree
DEFB126	9606.ENSP00000371835	0
DENND3	9606.ENSP00000428714	0
DENND6B	9606.ENSP00000391524	0
DGKA	9606.ENSP00000377703	0
DICER1	9606.ENSP00000437256	4
DIDO1	9606.ENSP00000266070	2
DIO2	9606.ENSP00000451419	1
DIO3	9606.ENSP00000427336	0
DIP2C	9606.ENSP00000280886	0
DIPK1C	9606.ENSP00000344331	0
DIPK2B	9606.ENSP00000381086	0
DIRAS2	9606.ENSP00000364919	0
DKK2	9606.ENSP00000285311	1
DKK3	9606.ENSP00000433112	0
DLG2	9606.ENSP00000365272	12
DLG3	9606.ENSP00000363480	16
DLGAP1	9606.ENSP00000316377	7
DLGAP4	9606.ENSP00000363023	7
DLST	9606.ENSP00000335304	0
DLX5	9606.ENSP00000498116	0
DMBT1	9606.ENSP00000357905	0
DMD	9606.ENSP00000354923	10
DMXL2	9606.ENSP00000441858	1
DNAH11	9606.ENSP00000475939	0
DNAH14	9606.ENSP00000383737	1
DNAH3	9606.ENSP00000261383	3
DNAH7	9606.ENSP00000311273	3
DNAI1	9606.ENSP00000480538	4
DNAJC28	9606.ENSP00000479716	0
DNAJC30	9606.ENSP00000378605	0
DNAJC6	9606.ENSP00000360108	1
DNAJC7	9606.ENSP00000406463	1
DNHD1	9606.ENSP00000254579	3
DNM1	9606.ENSP00000362014	12
DNM1L	9606.ENSP00000449089	1
DOCK8	9606.ENSP00000394888	3
DOCK9	9606.ENSP00000365643	0
DOK4	9606.ENSP00000455566	2
DOK6	9606.ENSP00000372160	2
DPEP1	9606.ENSP00000376807	0
DPF1	9606.ENSP00000347716	0
DPP10	9606.ENSP00000376855	0
DPP4	9606.ENSP00000353731	4
DPPA3	9606.ENSP00000339250	0
DPT	9606.ENSP00000356791	0
DRP2	9606.ENSP00000378635	1
DSC1	9606.ENSP00000257198	3
DSC2	9606.ENSP00000280904	3
DSE	9606.ENSP00000494147	0
DSEL	9606.ENSP00000310565	0
DSG1	9606.ENSP00000257192	5
DST	9606.ENSP00000307959	2
DTNA	9606.ENSP00000470152	2
DUS4L	9606.ENSP00000265720	0
DUSP9	9606.ENSP00000345853	0
DYDC2	9606.ENSP00000361272	1
DYRK2	9606.ENSP00000342105	0
DYSF	9606.ENSP00000386881	1
EBF1	9606.ENSP00000322898	0
ECM2	9606.ENSP00000344758	0
ECPAS	9606.ENSP00000259335	2
EDDM3A	9606.ENSP00000315098	0
EDEM1	9606.ENSP00000256497	0
EEF1A2	9606.ENSP00000217182	2
EEF2K	9606.ENSP00000263026	1
EFCAB12	9606.ENSP00000420854	0
EFHC1	9606.ENSP00000360107	4
EFNB1	9606.ENSP00000204961	5
EGFLAM	9606.ENSP00000346964	0
EGLN1	9606.ENSP00000355601	2
EHF	9606.ENSP00000435835	1
EIF3B	9606.ENSP00000354125	2
ELAVL2	9606.ENSP00000369453	1
ELF1	9606.ENSP00000239882	0
ELF5	9606.ENSP00000311010	0
ELOVL2	9606.ENSP00000346693	0
ELSPBP1	9606.ENSP00000340660	0
EMC10	9606.ENSP00000334037	1
EMILIN3	9606.ENSP00000332806	0
EMP1	9606.ENSP00000256951	0
EMP2	9606.ENSP00000352540	0
EMX2	9606.ENSP00000450962	0
ENAH	9606.ENSP00000355809	2
ENPP3	9606.ENSP00000406261	0
ENSP00000480106	9606.ENSP00000480106	0
ENTHD1	9606.ENSP00000317431	3
EP400	9606.ENSP00000374212	5
EPAS1	9606.ENSP00000263734	4
EPB41L2	9606.ENSP00000357110	4
EPB41L4B	9606.ENSP00000363694	0
EPHA3	9606.ENSP00000337451	3
EPHA4	9606.ENSP00000281821	3
EPHA7	9606.ENSP00000358309	3
EPO	9606.ENSP00000252723	8
EPS8	9606.ENSP00000494689	6
EPYC	9606.ENSP00000261172	0
ERBB3	9606.ENSP00000267101	5
ERBB4	9606.ENSP00000342235	7
ERC2	9606.ENSP00000288221	0
ERG	9606.ENSP00000414150	1
ERMARD	9606.ENSP00000355735	1
ERVFRD-1	9606.ENSP00000420174	0
ETV7	9606.ENSP00000341843	0
EVA1A	9606.ENSP00000377490	0
EVI2A	9606.ENSP00000247270	0
EVI2B	9606.ENSP00000333779	0
EVL	9606.ENSP00000376652	3
EZR	9606.ENSP00000338934	10
FAM107B	9606.ENSP00000181796	0
FAM110C	9606.ENSP00000328347	0
FAM111A	9606.ENSP00000434435	0
FAM124A	9606.ENSP00000280057	0
FAM149A	9606.ENSP00000227065	0
FAM149B1	9606.ENSP00000242505	0
FAM155A	9606.ENSP00000365080	1
FAM163A	9606.ENSP00000354891	0
FAM166C	9606.ENSP00000332875	4
FAM167A	9606.ENSP00000284486	0
FAM181A	9606.ENSP00000267594	0
FAM184B	9606.ENSP00000265018	0
FAM209B	9606.ENSP00000360376	0
FAM222A	9606.ENSP00000443292	2
FAM49A	9606.ENSP00000370724	0
FAM53A	9606.ENSP00000310057	0
FAM53B	9606.ENSP00000338532	0
FAM71F1	9606.ENSP00000326652	0
FAM76A	9606.ENSP00000010299	0
FARP1	9606.ENSP00000486285	0
FAT1	9606.ENSP00000406229	0
FAT2	9606.ENSP00000261800	0
FATE1	9606.ENSP00000359375	0
FAXC	9606.ENSP00000374328	0
FBP2	9606.ENSP00000364486	0
FBXL2	9606.ENSP00000417601	3
FBXL20	9606.ENSP00000264658	0
FBXO11	9606.ENSP00000384823	0
FBXO3	9606.ENSP00000265651	2
FBXO32	9606.ENSP00000428205	0
FBXO42	9606.ENSP00000364742	0
FBXO6	9606.ENSP00000365944	0
FBXW7	9606.ENSP00000474725	8
FCAMR	9606.ENSP00000316491	0
FCGBP	9606.ENSP00000481056	0
FCGR3B	9606.ENSP00000433642	2
FCN1	9606.ENSP00000360871	2
FCRL3	9606.ENSP00000357169	0
FCRL4	9606.ENSP00000271532	1
FEM1B	9606.ENSP00000307298	4
FGD6	9606.ENSP00000344446	0
FGF10	9606.ENSP00000264664	8
FGF2	9606.ENSP00000264498	11
FGF5	9606.ENSP00000311697	8
FGF6	9606.ENSP00000228837	7
FGFBP2	9606.ENSP00000259989	2
FGFR1OP2	9606.ENSP00000229395	5
FGFR3	9606.ENSP00000339824	6
FGL2	9606.ENSP00000248598	0
FHIT	9606.ENSP00000418582	0
FHL5	9606.ENSP00000326022	0
FIBIN	9606.ENSP00000321962	0
FIGN	9606.ENSP00000333836	0
FILIP1L	9606.ENSP00000346560	0
FLNC	9606.ENSP00000327145	4
FLRT2	9606.ENSP00000332879	4
FLT4	9606.ENSP00000261937	0
FMO2	9606.ENSP00000209929	0
FMO3	9606.ENSP00000356729	0
FMO4	9606.ENSP00000356723	0
FNBP1	9606.ENSP00000413625	2
FNDC5	9606.ENSP00000362570	0
FNTB	9606.ENSP00000246166	1
FOLH1	9606.ENSP00000256999	0
FOLR2	9606.ENSP00000298223	0
FOXD4	9606.ENSP00000371940	0
FOXN4	9606.ENSP00000299162	0
FOXO1	9606.ENSP00000368880	4
FOXP1	9606.ENSP00000484803	1
FOXQ1	9606.ENSP00000296839	0
FPR1	9606.ENSP00000471493	2
FPR3	9606.ENSP00000341821	1
FRA10AC1	9606.ENSP00000360488	1
FRMD3	9606.ENSP00000303508	0
FRMD4B	9606.ENSP00000381549	0
FSHB	9606.ENSP00000416606	1
FUT6	9606.ENSP00000286955	0
FZD8	9606.ENSP00000363826	6
GAB1	9606.ENSP00000262995	13
GAB3	9606.ENSP00000399588	2
GABRB3	9606.ENSP00000308725	1
GALNT18	9606.ENSP00000227756	0
GAS2	9606.ENSP00000401145	0
GAS7	9606.ENSP00000407552	0
GATAD2B	9606.ENSP00000357644	5
GBP1	9606.ENSP00000359504	2
GBP2	9606.ENSP00000359497	3
GBP5	9606.ENSP00000359488	2
GCKR	9606.ENSP00000264717	0
GCM1	9606.ENSP00000259803	0
GDAP1	9606.ENSP00000220822	0
GDF15	9606.ENSP00000252809	0
GDF3	9606.ENSP00000331745	0
GDNF	9606.ENSP00000409007	9
GFM1	9606.ENSP00000264263	1
GFPT2	9606.ENSP00000253778	0
GFRA1	9606.ENSP00000347591	8
GH2	9606.ENSP00000333157	5
GIMAP4	9606.ENSP00000419545	0
GIMAP5	9606.ENSP00000351473	0
GIP	9606.ENSP00000350005	1
GK2	9606.ENSP00000351706	0
GLDC	9606.ENSP00000370737	0
GLI2	9606.ENSP00000390436	0
GLIPR2	9606.ENSP00000367196	0
GLMN	9606.ENSP00000359385	8
GLP1R	9606.ENSP00000362353	5
GNA13	9606.ENSP00000400717	7
GNAI2	9606.ENSP00000312999	16
GNB5	9606.ENSP00000261837	17
GNG12	9606.ENSP00000360021	13
GNG2	9606.ENSP00000334448	32
GNG4	9606.ENSP00000398629	13
GNGT2	9606.ENSP00000421710	13
GNLY	9606.ENSP00000436423	0
GNMT	9606.ENSP00000361894	0
GNRH1	9606.ENSP00000276414	0
GPA33	9606.ENSP00000356842	0
GPALPP1	9606.ENSP00000368447	0
GPAT3	9606.ENSP00000264409	0
GPATCH2	9606.ENSP00000355902	0
GPATCH4	9606.ENSP00000396441	0
GPC3	9606.ENSP00000377836	0
GPC4	9606.ENSP00000359864	1
GPR160	9606.ENSP00000348161	0
GPR22	9606.ENSP00000302676	0
GPR4	9606.ENSP00000319744	0
GPR45	9606.ENSP00000258456	0
GPR55	9606.ENSP00000498258	0
GPR68	9606.ENSP00000498702	0
GRAMD1C	9606.ENSP00000350881	0
GRAP	9606.ENSP00000284154	0
GRB7	9606.ENSP00000403459	3
GREM1	9606.ENSP00000498748	0
GRHL1	9606.ENSP00000324693	0
GRIA2	9606.ENSP00000296526	6
GRIA4	9606.ENSP00000282499	6
GRID2	9606.ENSP00000282020	6
GRIK1	9606.ENSP00000327687	4
GRIK3	9606.ENSP00000362183	16
GRIK4	9606.ENSP00000435648	11
GRIN2A	9606.ENSP00000332549	10
GRK5	9606.ENSP00000376609	1
GRM5	9606.ENSP00000306138	8
GSG1	9606.ENSP00000405032	1
GSTA4	9606.ENSP00000360002	0
GTF2A1L	9606.ENSP00000384597	0
